Year,Month,Week,Date,DMR_Mangemant_Area,Site,GearID,Gear_Type,,Level_Position,Sex,Shell_Height,Total_Viscera_Weight,Meat_Weight,Gonad_Weight,Shell_Weight,Meat_Color,GSI,Notes,(X-碌)^2
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,M,91,67.53,22.67,9.84,49.15,NA,14.571,,0.206
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,F,73,38.53,12.48,4.56,37.09,NA,11.835,,10.181
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,F,96,71.59,21.5,13.29,59.09,NA,18.564,,12.52
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,M,80,39.97,10.45,8.41,34.11,NA,21.041,,36.181
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,M,96,50.48,21.16,3.17,54.86,NA,6.28,,76.493
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,F,84,47.23,16.26,3.65,39.86,NA,7.728,,22.911
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,M,83,49.82,14.78,8.94,47.92,NA,17.945,,29.484
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,89,50.76,17.08,7.58,73.95,NA,14.933,,5.848
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,86,50.37,15.03,9.24,47.18,NA,18.344,,33.984
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,91,52.39,15.64,8.86,45.43,NA,16.912,,19.333
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,88,50.79,18.91,3.84,43.68,NA,7.561,,24.544
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,83,37.41,11.84,2.66,32.43,NA,7.11,,29.206
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,72,35.15,12.08,3.97,35.78,NA,11.294,,1.489
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,M,90,56.5,17.6,10.1,44.62,NA,17.876,,28.745
2019,7,30,2019-07-24,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,F,84,49.23,19.07,2.68,44.05,NA,5.444,,49.997
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,F,67,23.89,9.3,1.88,30.58,NA,7.869,,22.424
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,F,94,57.04,18.29,5.69,45.46,NA,9.975,,6.913
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,M,77,34.22,10.2,6.07,39.5,NA,17.738,,26.352
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,M,89,55.33,15.65,6.82,46.14,NA,12.326,,0.078
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,F,82,46.43,17.12,4.07,56.34,NA,8.766,,14.737
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,F,91,61.04,18.42,6.3,49.02,NA,10.321,,5.215
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,M,82,42.67,12.91,4.69,44.1,NA,10.991,,2.603
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,M,87,66.97,19.77,12.5,63.7,NA,18.665,,36.727
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,F,72,26.42,8.72,4.08,29.99,NA,15.443,,8.055
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,M,86.5,56.12,16.15,7.83,43.25,NA,13.952,,1.816
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,90,55.71,17.51,11.74,55.22,NA,21.073,,23.864
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,84,45.22,18.74,4.35,39.08,NA,9.62,,43.148
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,M,84.5,42.36,13.15,8.14,39.24,NA,19.216,,9.168
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,F,75,29.06,10.12,2.59,40.12,NA,8.913,,52.936
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,76,44.38,13.85,9.11,38.73,NA,20.527,,18.826
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,71,39.2,12.36,7.31,41.1,NA,18.648,,6.05
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,89,61.76,16.6,10.16,56.46,NA,16.451,,0.069
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,90.5,51.06,17.1,8.74,52.01,NA,17.117,,0.863
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,M,83,41.76,14.22,8.42,40.68,NA,20.163,,15.797
2019,8,31,2019-08-02,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,F,NA,60.46,21.38,6.14,73.72,NA,10.155,,36.395
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,F,80,42.56,16.27,2.88,48.09,NA,6.767,,90.374
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,F,89,58.41,17.59,12.75,48.41,NA,21.828,,30.858
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,M,70,31.07,10.17,6.81,32.05,NA,21.918,,31.864
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,M,85.5,45.61,15.92,8.03,46.02,NA,17.606,,1.775
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,F,67,25.85,9.82,3.28,35.59,NA,12.689,,12.851
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,F,99.5,70.83,20.97,14,58.51,NA,19.766,,12.195
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,M,71,48.48,11.83,7.15,31.51,NA,14.748,,2.326
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,M,87,68.24,18.89,16.39,53.53,NA,24.018,,59.981
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,F,75,37.74,12.86,3.63,34.84,NA,9.618,,44.289
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,M,94,49.87,14.73,6.87,63.15,NA,13.776,,6.238
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,85,41.55,13.81,7.42,46.57,NA,17.858,,5.608
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,97,67.34,22.36,13.17,60.75,NA,19.557,,0.447
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,M,84,46.56,15.87,9.01,44.08,NA,19.351,,0.765
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,F,84,58.27,21.08,8.64,43.36,NA,14.828,,29.145
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,83,48.18,16.52,10.18,42.88,NA,21.129,,0.815
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,72.5,29.2,9.87,6.45,29.53,NA,22.089,,3.47
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,87,54.98,19.68,10.42,53.31,NA,18.952,,1.623
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,81,35.92,11.31,7.17,44.67,NA,19.961,,0.07
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,F,84,49.46,15.09,8.93,50.96,NA,18.055,,4.714
2019,8,32,2019-08-07,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,M,80,52.46,14.38,15.99,NA,NA,30.48,Shell cracked and did not weigh,105.149
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,M,78,26.03,9.05,1.94,27.22,NA,7.453,,39.523
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,F,78.5,26.35,9.41,3.14,38.51,NA,11.917,,3.324
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,91,38.67,11.45,4.57,40.81,NA,11.818,,3.693
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,90,49.45,15.86,6.27,53.28,NA,12.679,,1.124
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,95,55.99,18.7,8.61,60.2,NA,15.378,,2.683
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,89.5,51.67,13.89,8.88,53.47,NA,17.186,,11.877
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,F,95.5,61.54,18.56,13.41,86.78,NA,21.791,,64.82
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,M,80.5,44,15.81,8.58,46.8,NA,19.5,,33.182
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,79.5,34.38,11.06,4.37,38.26,NA,12.711,,1.058
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,70,44.37,7.87,3.09,36.86,NA,6.964,,45.907
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,F,94,73.44,24.37,10.56,68.37,NA,14.379,,8.825
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,M,86,58.93,18.55,12.27,43.44,NA,20.821,,12.051
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,F,84.5,47.62,15.19,6.1,51.56,NA,12.81,,20.612
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,F,80,53.09,15.6,12.62,38.65,NA,23.771,,41.231
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,M,77,36.06,11.36,7.1,37.9,NA,19.689,,5.474
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,M,94.5,67.35,27.72,4.53,55.19,NA,6.726,,112.864
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,F,72.5,28.33,10.09,3.7,36.7,NA,13.06,,18.399
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,F,85,67.83,17.13,12,52.23,NA,17.691,,0.117
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,M,75,28.44,10.02,6.04,37.46,NA,21.238,,15.116
2019,8,33,2019-08-15,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,M,91,57.91,57.78,13.5,47.16,NA,23.312,,35.548
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,88,56.36,17.27,12.47,63.62,NA,22.126,,26.124
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,90,54.14,20.2,7.89,47.49,NA,14.573,,5.959
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,F,85,45.52,16.24,7.37,54.03,NA,16.191,,0.679
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,M,79,37.31,13.55,6.15,68.57,NA,16.484,,0.282
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,88,45.72,12.19,12.72,48.43,NA,27.822,,116.792
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,89,55.38,22.2,5.96,54.44,NA,10.762,,39.094
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,71,28.53,12.22,4.09,40.47,NA,14.336,,7.175
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,81,34.03,11.97,5.57,46.15,NA,16.368,,0.418
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,M,97,56.99,19.4,11.38,62.46,NA,19.968,,8.726
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,F,75,25.79,10.34,2.97,36.2,NA,11.516,,30.232
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,M,71,37.84,12.2,5.64,43.21,NA,14.905,,0
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,M,97,72.21,21.77,9.44,54.84,NA,13.073,,3.406
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,F,87,68.86,20.3,16.28,50.46,NA,23.642,,76.1
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,F,98.5,66.08,22.19,4.12,62.37,NA,6.235,,75.408
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,M,83,45.77,12.11,12.17,45.96,NA,26.589,,136.208
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,M,95,68.05,19.01,11.35,57.29,NA,16.679,,3.099
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,F,76,34.38,11.08,4.72,43.08,NA,13.729,,1.415
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,F,93,55.4,20.2,4.92,61.5,NA,8.881,,36.455
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,M,78.5,45.45,13.88,5.47,33.61,NA,12.035,,8.314
2019,8,34,2019-08-22,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,M,91,60.59,17.6,8.13,54.51,NA,13.418,,2.252
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,F,91,49.14,16.87,2.78,43.43,NA,5.657,,82.839
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,F,85,43.64,11.74,9.96,41.84,NA,22.823,,65.032
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,91,36.62,12.12,2.37,38.55,NA,6.472,,68.675
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,88,57.71,15.94,12.94,59.87,NA,22.422,,58.73
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,75,26.61,7.94,3.89,37.95,NA,14.619,,0.02
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,79,37.71,17.15,5.31,43.86,NA,14.081,,0.459
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,F,78,38.61,12.3,6.35,38.89,NA,16.447,,2.848
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,12,Cage,NA,TL,M,84,43.37,10.54,8.83,42.36,NA,20.36,,31.369
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,91.5,52.72,16.73,5.89,42.12,NA,11.172,,12.864
2019,8,35,2019-08-27,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,86.5,42.11,10.93,5.7,51.08,NA,13.536,,1.496
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,M,71,34.78,10.37,8.85,40.24,NA,25.446,,37.535
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,M,92,82.09,22.81,21.1,51.07,NA,25.703,,40.761
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,F,73,35.14,10.93,5.98,40.3,NA,17.018,,5.296
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,F,87,74.99,22.23,16.4,47.43,NA,21.87,,6.505
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,M,74,40.28,11.74,8,37.47,NA,19.861,,0.294
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,M,94,63.55,21.75,5.75,54.47,NA,9.048,,105.494
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,F,81,49.18,12.96,13.08,55.54,NA,26.596,,52.957
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,F,94,65.89,21.2,10.41,52.21,NA,15.799,,12.39
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,M,78,46.64,15.05,10.68,38.76,NA,22.899,,12.815
2019,8,35,2019-08-29,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,F,92,63.68,23.7,5.7,66.08,NA,8.951,,107.496
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,1,M,72,32.84,8.93,7.63,39.46,NA,23.234,,0.66
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,2,M,88.5,76.64,20.2,24.41,62.28,NA,31.85,,88.905
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,3,F,76.5,35.22,12.04,3.4,40.03,NA,9.654,,163.014
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,4,F,86.5,69.78,20.85,10.02,57.59,NA,14.359,,64.994
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,5,M,81.5,47.79,13.98,9.87,54.07,NA,20.653,,3.127
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,6,M,81,62.33,17.47,16.32,52.06,NA,26.183,,14.152
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,7,F,83,57.03,12.73,18.12,54.98,NA,31.773,,87.45
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,8,F,89.5,66.55,21.5,10.33,56.45,NA,15.522,,47.598
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,10,Lantern_Net,NA,9,M,76.5,33.93,9.81,9.67,38.98,NA,28.5,,36.949
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,11,Lantern_Net,NA,10,F,92.5,69.78,17.8,15.69,67.24,NA,22.485,,0.004
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,M,91,55.69,19.91,7.08,56.35,NA,12.713,,2.242
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,13,Cage,NA,TR,F,86,45.2,15.9,5.26,51.72,NA,11.637,,6.623
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,M,85.5,47.19,14.55,9.62,43.86,NA,20.386,,38.131
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,13,Cage,NA,ML,F,92,49.66,15.9,8.36,67.82,NA,16.834,,6.885
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,M,75,36.43,12.7,6.88,38.15,NA,18.886,,21.855
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,12,Cage,NA,MR,F,65,23.29,8.04,3.43,32.45,NA,14.727,,0.267
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,12,Cage,NA,BL,M,79,85.85,12.57,5.57,40.6,NA,6.488,,59.638
2019,9,36,2019-09-05,Lower_Penobscot_Bay,HI,13,Cage,NA,BR,F,93,50.17,16.53,5.83,55.34,NA,11.62,,6.709
